neighbourhood,cars
Baró de Viver,26.5
Can Baró,34.3
Can Peguera,27.9
Canyelles,42.2
Ciutat Meridiana,28.8
Diagonal Mar i el Front Marítim del Poblenou,31.2
el Baix Guinardó,32.5
el Barri Gòtic,41
el Besòs i el Maresme,27.7
el Bon Pastor,41
el Camp de l'Arpa del Clot,31.4
el Camp d'en Grassot i Gràcia Nova,34.3
el Carmel,30.7
el Clot,32.4
el Coll,31.1
el Congrés i els Indians,29.1
el Fort Pienc,34.6
el Guinardó,33.2
el Parc i la Llacuna del Poblenou,45.5
el Poble-sec,23.8
el Poblenou,31
el Putxet i el Farró,39.9
el Raval,13.5
el Turó de la Peira,23.8
Horta,34.7
Hostafrancs,30.6
la Barceloneta,24.3
la Bordeta,61.7
la Clota,28.4
la Dreta de l'Eixample,45.8
la Font de la Guatlla,51.4
la Font d'en Fargues,42.9
la Guineueta,34.9
la Marina de Port,35.6
la Marina del Prat Vermell,335.8
la Maternitat i Sant Ramon,41.9
la Nova Esquerra de l'Eixample,37.6
la Prosperitat,32.7
la Sagrada Família,31.3
la Sagrera,33.3
la Salut,37
la Teixonera,33.9
la Trinitat Nova,26.6
la Trinitat Vella,28.4
la Vall d'Hebron,39.7
la Verneda i la Pau,35.1
la Vila de Gràcia,27.2
la Vila Olímpica del Poblenou,42.7
l'Antiga Esquerra de l'Eixample,37.4
les Corts,45.9
les Roquetes,30.6
les Tres Torres,60.9
Montbau,34.5
Navas,34.1
Pedralbes,83.7
Porta,32
Provençals del Poblenou,35.7
Sant Andreu,35
Sant Antoni,30.5
Sant Genís dels Agudells,42.4
Sant Gervasi - Galvany,54.7
Sant Gervasi - la Bonanova,46.2
Sant Martí de Provençals,34.3
"Sant Pere, Santa Caterina i la Ribera",20
Sants,30.6
Sants - Badal,32
Sarrià,43.7
Torre Baró,31.5
Vallbona,31.9
Vallcarca i els Penitents,37.8
"Vallvidrera, el Tibidabo i les Planes",42.4
Verdun,29.3
Vilapicina i la Torre Llobeta,31.8