SchoolName,Type,NumberBoys,NumberGirls,OfstedGrade
Osmani Primary School,Primary,200,225,2
Shapla Primary School,Primary,95,125,3
Hermitage Primary School,Primary,175,155,2
Bangabandhu Primary School,Primary,235,235,2
Halley Primary School,Primary,105,130,2
Bigland Green Primary School,Primary,225,250,3
Kobi Nazrul Primary School,Primary,105,115,4
Smithy Street School,Primary,245,200,1
Bygrove Primary School,Primary,125,115,1
William Davis Primary School,Primary,110,125,2
Christ Church CofE School,Primary,95,95,2
Guardian Angels Roman Catholic Primary School,Primary,100,105,2
Stepney Greencoat Church of England Primary School,Primary,105,95,2
St Agnes RC Primary School,Primary,120,110,1
St Anne's Catholic Primary School,Primary,185,150,3
St Edmund's Catholic School,Primary,105,120,2
St John's Church of England Primary School,Primary,115,95,3
St Luke's Church of England Primary School,Primary,180,170,2
St Matthias Church of England Primary School,Primary,120,105,2
St Paul with St Luke CofE Primary School,Primary,125,125,3
St Paul's Whitechapel Church of England Primary School,Primary,95,125,1
St Peter's London Docks CofE Primary School,Primary,130,100,2
St Saviour's Church of England Primary School,Primary,100,135,2
English Martyrs Roman Catholic Primary School,Primary,105,125,2
Bow School,Secondary,555,40,2
Langdon Park Community School,Secondary,470,455,3
Morpeth School,Secondary,830,650,1
Mulberry School for Girls,Secondary,0,1435,1
Stepney Green Mathematics and Computing College,Secondary,915,0,2
St Paul's Way Trust School,All Through,650,560,1
Oaklands School,Secondary,360,420,2
Swanlea School,Secondary,830,405,1
George Green's School,Secondary,570,535,2
Central Foundation Girls' School,Secondary,0,1475,2
Sir John Cass Foundation and Redcoat Church of England Secondary School,Secondary,900,685,1
Bishop Challoner Catholic Federations of Girls School,Secondary,100,795,1
Raine's Foundation School,Secondary,365,335,3
Alderbrook Primary School,Primary,145,145,2
Allfarthing Primary School,Primary,215,205,2
Beatrix Potter Primary School,Primary,210,200,2
Brandlehow Primary School,Primary,160,165,1
Broadwater Primary School,Primary,245,220,2
Chesterton Primary School,Primary,245,230,1
Eardley School,Primary,235,240,2
Earlsfield Primary School,Primary,265,255,2
Falconbrook Primary School,Primary,180,155,2
Fircroft Primary School,Primary,220,240,2
Franciscan Primary School,Primary,240,235,2
Furzedown Primary School,Primary,215,230,2
High View Primary School,Primary,185,165,3
Honeywell Junior School,Primary,185,175,1
Honeywell Infant School,Primary,185,150,1
Hotham Primary School,Primary,220,200,2
John Burns Primary School,Primary,100,115,2
Penwortham Primary School,Primary,280,310,2
Ravenstone Primary School,Primary,230,200,3
Riversdale Primary School,Primary,165,155,2
Sellincourt Primary School,Primary,235,215,3
Shaftesbury Park Primary School,Primary,145,140,2
Smallwood Primary School and Language Unit,Primary,215,185,2
Swaffield Primary School,Primary,265,245,2
West Hill Primary School,Primary,175,135,2
Wix Primary School,Primary,170,160,3
Sheringdale Primary School,Primary,160,160,1
Southmead Primary School,Primary,215,230,2
Granard Primary School,Primary,240,210,2
Heathmere Primary School,Primary,140,150,2
Ronald Ross Primary School,Primary,125,120,1
Albemarle Primary School,Primary,145,135,1
The Alton School,Primary,130,120,3
"All Saints' CofE Primary School, Putney",Primary,120,135,1
Christ Church CofE Primary School,Primary,105,100,2
Holy Ghost Catholic Primary School,Primary,110,100,1
Our Lady of Victories Catholic Primary School,Primary,100,95,1
Roehampton CofE Primary School,Primary,115,115,2
St Anne's CofE Primary School,Primary,110,90,2
St Boniface RC Primary School,Primary,180,180,1
St Faith's CofE Primary School,Primary,95,115,2
St George's CofE Primary School,Primary,115,110,1
St Joseph's RC Primary School,Primary,125,110,2
St Mary's CofE Primary School,Primary,120,135,1
Trinity St Mary's CofE Primary School,Primary,105,110,2
St Mary's RC Voluntary Aided Primary School,Primary,110,90,2
St Michael's CofE Primary School,Primary,195,215,1
"Sacred Heart Catholic Primary School, Roehampton",Primary,210,200,2
Our Lady Queen of Heaven RC School,Primary,135,130,1
St Anselm's Catholic Primary School,Primary,125,90,1
Ernest Bevin College,Secondary,1250,10,1
Hillbrook School,Primary,310,260,1
Barrow Hill Junior School,Primary,120,110,2
Paddington Green Primary School,Primary,175,175,2
Edward Wilson Primary School,Primary,230,195,2
Essendine Primary School,Primary,230,235,2
George Eliot Primary School,Primary,225,235,1
Hallfield Primary School,Primary,270,310,2
Robinsfield Infant School,Primary,110,90,2
Queen's Park Primary School,Primary,145,155,2
All Souls CofE Primary School,Primary,95,90,2
Burdett-Coutts and Townshend Foundation CofE Primary School,Primary,160,180,2
Hampden Gurney CofE Primary School,Primary,120,120,1
Our Lady of Dolours RC Primary School,Primary,150,140,2
St Augustine's CofE Primary School,Primary,105,125,2
St Barnabas' CofE Primary School,Primary,65,75,2
St Clement Danes CofE Primary School,Primary,100,120,1
St Edward's Catholic Primary School,Primary,190,205,2
St Gabriel's CofE Primary School,Primary,105,85,2
St George's Hanover Square CofE Primary School,Primary,90,110,2
Soho Parish CofE Primary School,Primary,75,75,2
St James & St John Church of England Primary School,Primary,80,95,2
St Joseph's RC Primary School,Primary,170,145,2
St Luke's CofE Primary School,Primary,85,100,2
St Mary Magdalene CofE Primary School,Primary,125,105,2
St Mary's Bryanston Square CofE School,Primary,110,115,3
St Mary of the Angels RC Primary School,Primary,170,145,2
"St Matthew's School, Westminster",Primary,90,100,2
St Peter's CofE School,Primary,105,100,2
St Peter's Eaton Square CofE Primary School,Primary,135,165,1
St Saviour's CofE Primary School,Primary,115,120,1
St Stephen's CofE Primary School,Primary,100,100,2
St Vincent's RC Primary School,Primary,110,125,1
St Vincent de Paul RC Primary School,Primary,125,110,3
Westminster Cathedral RC Primary School,Primary,100,95,2
Christ Church Bentinck CofE Primary School,Primary,115,125,2
St Augustine's CofE High School,Secondary,495,440,1
The James Cambell Primary School,Primary,455,430,2
Dorothy Barley Infants' School,Primary,235,210,3
Manor Junior School,Primary,245,235,2
Manor Infants' School/Manor Longbridge,Primary,595,520,2
Northbury Primary School,Primary,440,460,2
Ripple Primary School,Primary,575,540,3
Beam Primary School,Primary,335,295,2
Furze Infants' School,Primary,245,225,2
Grafton Primary School,Primary,480,445,2
Marks Gate Infants' School,Primary,165,150,2
Marsh Green Primary School,Primary,175,175,2
The Leys Primary School,Primary,180,225,2
Warren Junior School,Primary,250,220,1
Thomas Arnold Primary School,Primary,260,230,2
Valence Primary School,Primary,575,560,2
Village Infants' School,Primary,150,160,3
Marks Gate Junior School,Primary,160,165,2
William Bellamy Primary School,Primary,535,535,2
Parsloes Primary School,Primary,295,280,3
Five Elms Primary School,Primary,280,250,2
Henry Green Primary School,Primary,250,210,3
Roding Primary School,Primary,615,570,2
Becontree Primary School,Primary,270,225,2
John Perry Primary School,Primary,280,275,2
St Margarets CofE Primary School,Primary,230,230,2
William Ford CofE Primary School,Primary,185,170,1
St Joseph's Catholic Primary School,Primary,165,190,3
St Joseph's Catholic Primary School,Primary,190,205,2
St Peter's Catholic Primary School,Primary,230,225,2
The St Teresa Catholic Primary School,Primary,105,115,1
St Vincent's Catholic Primary School,Primary,125,105,2
"Barking Abbey School, A Specialist Sports and Humanities College",Secondary,995,955,2
Eastbrook School,Secondary,440,450,3
Eastbury Community School,All Through,845,900,2
Robert Clack School,Secondary,940,875,2
All Saints Catholic School and Technology College,Secondary,625,540,2
Barnfield Primary School,Primary,290,250,1
Bell Lane Primary School,Primary,240,210,2
Brookland Junior School,Primary,205,155,1
Brookland Infant and Nursery School,Primary,150,170,1
Brunswick Park Primary and Nursery School,Primary,190,170,2
Childs Hill School,Primary,200,170,2
Church Hill School,Primary,110,120,2
Colindale Primary School,Primary,360,355,2
Coppetts Wood Primary School,Primary,165,130,1
Courtland School,Primary,110,105,1
Cromer Road Primary School,Primary,235,185,2
Deansbrook Infant School,Primary,180,180,2
Dollis Infant School,Primary,160,150,2
Edgware Primary School,Primary,325,340,2
Fairway Primary School and Children's Centre,Primary,145,140,2
Foulds School,Primary,175,140,1
Frith Manor Primary School,Primary,345,325,2
Garden Suburb Junior School,Primary,180,170,2
Garden Suburb Infant School,Primary,125,135,2
Goldbeaters Primary School,Primary,240,220,2
Hollickwood Primary School,Primary,125,125,3
Holly Park Primary School,Primary,270,275,1
Livingstone Primary and Nursery School,Primary,180,115,2
Manorside Primary School,Primary,160,160,1
Monkfrith Primary School,Primary,130,145,1
Moss Hall Junior School,Primary,205,180,2
Moss Hall Infant School,Primary,185,175,1
Northside Primary School,Primary,170,120,1
Summerside Primary School,Primary,255,245,2
Woodridge Primary School,Primary,125,115,2
Tudor Primary School,Primary,140,100,3
Underhill School,Primary,255,255,3
Whitings Hill Primary School,Primary,245,235,1
Chalgrove Primary School,Primary,115,100,2
Sunnyfields Primary School,Primary,130,130,2
Queenswell Infant & Nursery School,Primary,175,180,2
Queenswell Junior School,Primary,185,150,2
Danegrove Primary School,Primary,360,290,2
All Saints' CofE Primary School NW2,Primary,100,105,2
Christ Church Primary School,Primary,115,110,2
Holy Trinity CofE Primary School,Primary,125,140,1
Monken Hadley CofE Primary School,Primary,85,65,2
St John's CofE Junior Mixed and Infant School,Primary,115,130,1
St John's CofE Primary School,Primary,130,110,2
St Mary's CofE Primary School,Primary,235,240,1
"St Mary's CofE Primary School, East Barnet",Primary,105,110,1
St Paul's CofE Primary School N11,Primary,125,105,2
St Paul's CofE Primary School NW7,Primary,95,120,2
"St Andrew's CofE Voluntary Aided Primary School, Totteridge",Primary,105,95,2
Trent CofE Primary School,Primary,100,110,2
All Saints' CofE Primary School N20,Primary,150,125,2
The Annunciation Catholic Infant School,Primary,110,110,1
Our Lady of Lourdes RC School,Primary,130,115,1
St Agnes RC School,Primary,180,180,2
St Catherine's RC School,Primary,260,220,1
St Vincent's Catholic Primary School,Primary,140,185,1
St Theresa's Catholic Primary School,Primary,120,115,2
St Joseph's Catholic Primary School,Primary,235,250,1
Sacred Heart Roman Catholic Primary School,Primary,220,200,2
Blessed Dominic Catholic Primary School,Primary,180,180,2
Rosh Pinah Primary School,Primary,260,230,4
Menorah Primary School,Primary,215,235,1
The Annunciation RC Junior School,Primary,115,110,3
Friern Barnet School,Secondary,410,385,2
Dollis Junior School,Primary,175,170,2
Osidge Primary School,Primary,230,225,2
St Mary's CofE High School,Secondary,105,75,3
St Michael's Catholic Grammar School,Secondary,50,705,1
Finchley Catholic High School,Secondary,1085,70,2
St James' Catholic High School,Secondary,555,530,2
Bishop Douglass School Finchley,Secondary,380,375,2
Mathilda Marks-Kennedy Jewish Primary School,Primary,100,125,1
Crook Log Primary School,Primary,220,205,2
Danson Primary School,Primary,305,245,2
Gravel Hill Primary School,Primary,160,175,2
Hook Lane Primary School,Primary,235,220,2
Upton Primary School,Primary,245,230,2
Bedonwell Junior School,Primary,245,235,2
Bedonwell Infant and Nursery School,Primary,220,240,1
Belmont Primary School,Primary,215,250,2
Birkbeck Primary School,Primary,235,225,2
Longlands Primary School,Primary,155,145,2
Slade Green Primary School,Primary,180,155,3
Dulverton Primary School,Primary,220,225,2
Parkway Primary School,Primary,120,120,2
Belvedere Infant School,Primary,165,150,3
Chatsworth Infant School,Primary,105,125,2
Jubilee Primary School,Primary,240,215,2
Northwood Primary School,Primary,105,115,2
Castilion Primary School,Primary,225,195,1
Royal Park Primary School,Primary,155,150,2
Barrington Primary School,Primary,130,115,2
Foster's Primary School,Primary,220,205,2
St Stephen's Catholic Primary School,Primary,220,200,1
Our Lady of the Rosary Catholic Primary School,Primary,235,245,2
St Joseph's Catholic Primary School,Primary,105,100,2
St Fidelis Catholic Primary School,Primary,225,245,2
St Thomas More Catholic Primary School,Primary,175,235,2
St John Fisher Catholic Primary School,Primary,95,115,2
St Peter Chanel Catholic Primary School,Primary,115,85,3
St Michael's East Wickham Church of England Voluntary Aided Primary School,Primary,110,100,1
Anson Primary School,Primary,215,200,2
Brentfield Primary School,Primary,305,285,2
Byron Court Primary School,Primary,340,340,1
Carlton Vale Infant School,Primary,110,95,2
Harlesden Primary School,Primary,130,135,2
Mount Stewart Junior School,Primary,185,175,1
Mount Stewart Infant School,Primary,165,155,2
Uxendon Manor Primary School,Primary,285,225,2
Kingsbury Green Primary School,Primary,355,325,2
Leopold Primary School,Primary,345,355,2
Lyon Park Primary School,Primary,230,210,2
Malorees Infant School,Primary,115,105,3
Northview Junior and Infant School,Primary,110,130,2
Park Lane Primary School,Primary,240,235,2
Preston Park Primary School,Primary,435,400,2
Roe Green Junior School,Primary,270,210,2
Roe Green Infant School,Primary,310,265,1
Barham Primary School,Primary,455,385,2
Wykeham Primary School,Primary,300,290,1
Elsley Primary School,Primary,225,230,2
Donnington Primary School,Primary,130,105,2
The Stonebridge School,Primary,345,270,2
Newfield Primary School,Primary,210,220,3
Mitchell Brook Primary School,Primary,290,265,1
Chalkhill Primary School,Primary,275,265,2
Salusbury Primary School,Primary,330,345,3
Oliver Goldsmith Primary School,Primary,235,235,2
Mora Primary School,Primary,240,215,2
Fryent Primary School,Primary,315,305,2
Braintcroft Primary School,Primary,385,380,2
Christ Church CofE Primary School,Primary,95,110,2
John Keble CofE Primary School,Primary,225,215,2
Princess Frederica CofE Primary School,Primary,220,225,2
St Mary's CofE Primary School,Primary,155,165,2
Our Lady of Grace Catholic Junior School,Primary,105,130,1
St Joseph RC Junior School,Primary,150,130,1
St Mary Magdalen's Catholic Junior School,Primary,165,190,2
St Robert Southwell RC Primary School,Primary,235,215,2
Convent of Jesus and Mary RC Infant School,Primary,160,170,1
Our Lady of Lourdes RC Primary School,Primary,115,115,3
St Joseph's RC Infant School,Primary,140,130,1
Our Lady of Grace RC Infant and Nursery School,Primary,110,115,1
St Margaret Clitherow RC Primary School,Primary,110,125,2
Sinai Jewish Primary School,Primary,335,340,2
Malorees Junior School,Primary,130,110,3
St Joseph's Roman Catholic Primary School,Primary,245,255,1
The Kilburn Park School Foundation,Primary,100,105,3
Newman Catholic College,Secondary,650,60,2
Islamia Primary School,Primary,205,210,2
Bromley Road Primary School,Primary,105,105,2
Churchfields Primary School,Primary,220,175,3
Southborough Primary School,Primary,205,220,3
Red Hill Primary School,Primary,365,320,3
Dorset Road Infant School,Primary,45,20,2
Downe Primary School,Primary,35,45,2
James Dixon Primary School,Primary,235,230,2
Edgebury Primary School,Primary,115,110,2
Clare House Primary School,Primary,150,150,2
Poverest Primary School,Primary,135,110,2
"St George's, Bickley, Church of England Primary School",Primary,155,155,2
St Paul's Cray Church of England Primary School,Primary,130,130,3
St Anthony's Roman Catholic Primary School,Primary,90,85,3
St Olave's and St Saviour's Grammar School,Secondary,865,145,1
Beulah Junior School,Primary,175,175,2
Cypress Primary School,Primary,365,380,3
Elmwood Junior School,Primary,240,235,2
Elmwood Infant School,Primary,200,210,2
Howard Primary School,Primary,145,150,2
Monks Orchard School,Primary,270,285,2
Purley Oaks Primary School,Primary,290,300,2
St Peter's Primary School,Primary,180,180,2
Winterbourne Junior Girls' School,Primary,0,345,3
Winterbourne Nursery and Infants' School,Primary,280,280,3
Wolsey Infant School,Primary,165,190,1
Woodside Primary School and Children's Centre,Primary,485,450,3
Kenley Primary School,Primary,120,105,2
Beaumont Primary School,Primary,115,90,2
Gresham Primary School,Primary,120,120,2
Smitham Primary School,Primary,245,235,2
The Hayes Primary School,Primary,225,190,2
Park Hill Junior School,Primary,180,195,2
Orchard Way Primary School,Primary,95,115,2
Forestdale Primary School,Primary,135,150,2
Courtwood Primary School,Primary,120,95,2
Heavers Farm Primary School,Primary,295,350,2
Downsview Primary and Nursery School,Primary,285,255,2
Park Hill Infant School,Primary,140,130,1
Greenvale Primary School,Primary,120,95,2
Rockmount Primary School,Primary,255,240,1
Norbury Manor Primary School,Primary,285,245,3
All Saints CofE Primary School,Primary,250,200,3
St John's CofE Primary School,Primary,120,120,2
The Minster Junior School,Primary,210,190,4
The Minster Nursery and Infant School,Primary,225,200,1
Coulsdon CofE Primary School,Primary,110,95,1
Christ Church CofE Primary School (Purley),Primary,155,140,2
St Joseph's RC Junior School,Primary,105,115,2
Margaret Roper Catholic Primary School,Primary,130,105,2
Regina Coeli Catholic Primary School,Primary,200,205,2
St Joseph's RC Infant School,Primary,90,115,2
Archbishop Tenison's CofE High School,Secondary,370,370,2
St Andrew's CofE Voluntary Aided High School,Secondary,370,380,3
St Mary's Catholic High School,Secondary,395,285,3
Selsdon Primary and Nursery School,Primary,295,300,2
Thomas More Catholic School,Secondary,520,350,3
Coloma Convent Girls' School,Secondary,0,1065,1
Berrymede Junior School,Primary,180,200,2
Berrymede Infant School,Primary,145,180,2
East Acton Primary School,Primary,160,165,2
Oldfield Primary School,Primary,225,240,2
North Ealing Primary School,Primary,340,355,2
St John's Primary School,Primary,265,205,2
St Mark's Primary School,Primary,230,205,2
West Twyford Primary School,Primary,155,180,2
West Acton Primary School,Primary,285,290,3
Mayfield Primary School,Primary,185,190,2
Beaconsfield Primary and Nursery School,Primary,150,125,2
Coston Primary School,Primary,240,210,2
Downe Manor Primary School,Primary,230,240,2
Drayton Green Primary School,Primary,185,170,2
North Primary School,Primary,215,205,1
Ravenor Primary School,Primary,315,295,2
Selborne Primary School,Primary,275,280,2
Hambrough Primary School,Primary,275,245,2
Hobbayne Primary School,Primary,340,300,2
John Perryn Primary School,Primary,230,230,2
Southfield Primary School,Primary,275,245,2
Allenby Primary School,Primary,140,125,2
Blair Peach Primary School,Primary,265,245,2
Clifton Primary School,Primary,205,195,2
Dairy Meadow Primary School,Primary,240,225,2
Derwentwater Primary School,Primary,335,370,2
Durdans Park Primary School,Primary,275,250,2
Fielding Primary School,Primary,480,410,2
Gifford Primary School,Primary,435,435,1
Greenwood Primary School,Primary,290,265,2
Havelock Primary School and Nursery,Primary,245,190,1
Horsenden Primary School,Primary,440,435,2
Willow Tree Primary School,Primary,385,370,2
Lady Margaret Primary School,Primary,360,310,2
Little Ealing Primary School,Primary,345,325,2
Oaklands Primary School,Primary,290,260,2
Perivale Primary School,Primary,250,215,2
Stanhope Primary School,Primary,305,295,2
Viking Primary School,Primary,135,140,2
Wolf Fields Primary School,Primary,195,225,2
Featherstone Primary and Nursery School,Primary,365,360,2
Three Bridges Primary School,Primary,220,235,2
Montpelier Primary School,Primary,350,330,1
Tudor Primary School,Primary,225,225,2
Hathaway Primary School,Primary,170,175,4
Vicar's Green Primary School,Primary,165,180,1
Mount Carmel Catholic Primary School,Primary,245,210,2
Our Lady of the Visitation Catholic Primary School,Primary,240,230,3
St John Fisher Catholic Primary School,Primary,225,240,1
St Anselm's Catholic Primary School,Primary,130,110,3
St Gregory's Catholic Primary School,Primary,305,310,2
St Joseph's Catholic Primary School,Primary,295,265,2
St Raphael's Catholic Primary School,Primary,325,265,2
St Vincent's Catholic Primary School,Primary,240,260,2
Edward Betham Church of England Primary School,Primary,230,240,2
Villiers High School,Secondary,540,515,2
Dormers Wells High School,Secondary,680,595,2
Acton High School,Secondary,895,425,2
The Cardinal Wiseman Catholic School,Secondary,960,925,2
Wood End Infant School,Primary,225,205,2
Dormers Wells Junior School,Primary,205,200,3
Dormers Wells Infant School,Primary,205,205,2
Brentside High School,Secondary,775,600,2
Greenford High School,Secondary,910,910,1
The Ellen Wilkinson School for Girls,Secondary,0,1400,2
Northolt High School,Secondary,470,425,2
Capel Manor Primary School,Primary,185,160,3
Carterhatch Junior School,Primary,205,210,2
Carterhatch Infant School,Primary,175,160,1
Chase Side Primary School,Primary,250,220,2
Eldon Primary School,Primary,305,275,2
Firs Farm Primary School,Primary,315,280,1
Fleecefield Primary School,Primary,240,245,2
Galliard Primary School,Primary,370,350,2
Garfield Primary School,Primary,245,235,2
George Spicer Primary School,Primary,325,305,2
Hadley Wood Primary School,Primary,115,100,1
Hazelbury Primary School,Primary,330,305,2
Hazelwood Junior School,Primary,190,170,2
Hazelwood Infant School,Primary,150,150,2
Honilands Primary School,Primary,355,300,2
Merryhills Primary School,Primary,285,285,2
Prince of Wales Primary School,Primary,315,320,3
The Raglan Junior School,Primary,235,245,3
Raglan Infant School,Primary,215,205,2
Suffolks Primary School,Primary,210,205,2
Tottenhall Infant School,Primary,185,145,2
Walker Primary School,Primary,210,210,2
Houndsfield Primary School,Primary,355,360,2
Alma Primary School,Primary,235,240,2
Wilbury Primary School,Primary,485,450,2
Southbury Primary School,Primary,255,220,2
Lavender Primary School,Primary,300,300,2
Grange Park Primary School,Primary,390,330,2
Eastfield Primary School,Primary,235,250,2
Churchfield Primary School,Primary,325,360,1
Worcesters Primary School,Primary,315,250,1
Bowes Primary School,Primary,340,335,1
De Bohun Primary School,Primary,185,165,3
Raynham Primary School,Primary,375,405,2
Bush Hill Park Primary School,Primary,340,310,2
Eversley Primary School,Primary,300,300,1
St Michael at Bowes CofE Junior School,Primary,180,170,2
St John's CofE Primary School,Primary,45,55,2
Forty Hill CofE Primary School,Primary,125,110,1
St Andrew's CofE Primary School,Primary,265,205,2
St Andrew's Southgate Primary School (CE),Primary,100,105,3
Freezywater St George's CofE Primary School,Primary,120,120,2
St John and St James CofE Primary School,Primary,230,220,2
St James CofE Primary School,Primary,100,110,2
St Michael's CofE Primary School,Primary,215,175,2
St Paul's CofE Primary School,Primary,220,200,1
St Mary's Catholic Primary School,Primary,240,225,2
St Edmunds Catholic Primary School,Primary,210,220,2
St George's Catholic Primary School,Primary,320,325,1
St Monica's RC Primary School,Primary,220,200,2
Our Lady of Lourdes Catholic Primary School,Primary,100,110,2
Latymer All Saints CofE Primary School,Primary,360,335,2
Wolfson Hillel Primary School,Primary,240,240,2
Edmonton County School,All Through,900,790,2
Winchmore School,Secondary,805,745,2
Enfield County School,Secondary,0,1120,1
Chace Community School,Secondary,635,655,2
Lea Valley High School,Secondary,695,580,2
Bishop Stopford's School,Secondary,430,295,2
St Anne's Catholic High School for Girls,Secondary,0,1025,2
St Matthew's CofE Primary School,Primary,100,110,2
The Latymer School,Secondary,780,590,1
Broomfield School,Secondary,450,375,2
St Ignatius College,Secondary,1065,0,3
Belmont Junior School,Primary,105,115,1
Belmont Infant School,Primary,115,105,2
Bounds Green Junior School,Primary,125,110,2
Bounds Green Infant School,Primary,140,130,2
